Name,Soundex,Frequency
Swan,S500,10
Tattersall,T362,10
Travis,T612,10
Turton,T635,10
Vickers,V262,10
Wadsworth,W326,10
Waterhouse,W362,10
Wheatley,W340,10
Wilton,W435,10
Wrigley,W624,10
Abraham,A165,9
Addison,A325,9
Aldridge,A436,9
Alsop,A421,9
Ashley,A240,9
Ayres,A620,9
Bagnall,B254,9
Bancroft,B526,9
Barns,B652,9
Bass,B200,9
Beck,B200,9
Bent,B530,9
Bingham,B525,9
Binns,B520,9
Blackmore,B425,9
Boardman,B635,9
Bosworth,B263,9
Boyle,B400,9
Bragg,B620,9
Brett,B630,9
Bridges,B632,9
Broadhurst,B636,9
Bromley,B654,9
Brough,B620,9
Bruce,B620,9
Brunt,B653,9
Buckle,B240,9
Burrow,B600,9
Bury,B600,9
Bush,B200,9
Button,B350,9
Buxton,B235,9
Callaghan,C425,9
Carrington,C652,9
Casey,C200,9
Childs,C432,9
Colley,C400,9
Collings,C452,9
Collinson,C452,9
Cookson,C250,9
Coward,C630,9
Cragg,C620,9
Cummins,C552,9
Cunninghame,C552,9
Dalby,D410,9
Daly,D400,9
Denny,D500,9
Dimmock,D520,9
Doughty,D230,9
Duncan,D525,9
Durrant,D653,9
Dyke,D200,9
East,E230,9
Eckersley,E262,9
Eden,E350,9
Flint,F453,9
Fogg,F200,9
Foulkes,F422,9
Frith,F630,9
Gardener,G635,9
Garratt,G630,9
Godwin,G350,9
Goode,G300,9
Gore,G600,9
Granger,G652,9
Greenhalgh,G654,9
Grice,G620,9
Grimes,G652,9
Hallett,H430,9
Handford,H531,9
Hawksworth,H263,9
Head,H300,9
Hedges,H322,9
Henson,H525,9
Herring,H652,9
Hibbert,H163,9
Hickson,H250,9
Hindle,H534,9
Holder,H436,9
Holman,H455,9
Horner,H656,9
Horrocks,H620,9
How,H000,9
Hoyle,H400,9
Jagger,J260,9
Jenner,J560,9
Jessop,J210,9
Jolly,J400,9
Keen,K500,9
Kellett,K430,9
Kelley,K400,9
Kerr,K600,9
Laycock,L220,9
Lumb,L510,9
Lynch,L520,9
Mace,M200,9
Maddison,M325,9
Maddocks,M320,9
McCarthy,M263,9
Mumford,M516,9
Murrell,M640,9
Neville,N140,9
New,N000,9
Oates,O320,9
Oldham,O435,9
Paine,P500,9
Painter,P536,9
Parkes,P622,9
Pascoe,P200,9
Patrick,P362,9
Pepper,P160,9
Pettit,P330,9
Phipps,P120,9
Pickersgill,P262,9
Pitcher,P326,9
Pitt,P300,9
Prescott,P623,9
Pye,P000,9
Richmond,R255,9
Rowell,R400,9
Royle,R400,9
Rutherford,R361,9
Sargent,S625,9
Sellers,S462,9
Small,S540,9
Smallwood,S543,9
Stanley,S354,9
Steer,S360,9
Stones,S352,9
Styles,S342,9
Symonds,S553,9
Talbott,T413,9
Till,T400,9
Tilley,T400,9
Tranter,T653,9
Twigg,T200,9
Unwin,U550,9
Wardle,W634,9
Watkin,W325,9
Weller,W460,9
Wicks,W200,9
Wilcock,W422,9
Wilks,W420,9
Yeates,Y320,9
Ainsworth,A526,8
Aston,A235,8
Bainbridge,B516,8
Baron,B650,8
Belcher,B426,8
Bellamy,B450,8
Beswick,B220,8
Blakeley,B424,8
Blunt,B453,8
Blyth,B430,8
Brearley,B664,8
Bridge,B632,8
Bulmer,B456,8
Burford,B616,8
Burnley,B654,8
Carver,C616,8
Case,C200,8
Caton,C350,8
Champion,C515,8
Chaplin,C145,8
Churchill,C624,8
Clifton,C413,8
Collis,C420,8
Copeland,C145,8
Cornell,C654,8
Crabb,C610,8
Crawford,C616,8
Cripps,C612,8
Crofts,C613,8
Cuthbert,C316,8
Cutler,C346,8
Darby,D610,8
Dickenson,D252,8
Dickson,D250,8
Dodds,D320,8
Doherty,D630,8
Dowling,D452,8
Drinkwater,D652,8
Dudley,D340,8
Duffy,D100,8
Eccles,E242,8
Emmett,E530,8
Fenn,F500,8
Fenton,F535,8
Flynn,F450,8
Gascoigne,G225,8
Gerrard,G663,8
Girling,G645,8
Glass,G420,8
Goff,G100,8
Goldsmith,G432,8
Grayson,G625,8
Hadfield,H314,8
Hare,H600,8
Heard,H630,8
Hetherington,H365,8
High,H200,8
Holding,H435,8
Hole,H400,8
Hulse,H420,8
Hurrell,H640,8
Irving,I615,8
Isherwood,I263,8
Jackman,J255,8
Jay,J000,8
Jervis,J612,8
Joy,J000,8
Kaye,K000,8
Kidd,K300,8
Kite,K300,8
Langdon,L523,8
Larkin,L625,8
Lindsay,L532,8
Lockyer,L260,8
Longworth,L526,8
Lovatt,L130,8
Lund,L530,8
Markham,M625,8
McGee,M200,8
Meakin,M250,8
Mee,M000,8
Meek,M200,8
Merry,M600,8
Messenger,M252,8
Millard,M463,8
Milnes,M452,8
